seg	chunk	words	dur_a	dur_b	lead_a	lead_b	trail_a	trail_b	speech_a	speech_b	gaps_a	gaps_b	gap_secs_a	gap_secs_b	rms_a	rms_b	text
29	0	29	8.4055	8.4055	0.0500	0.0500	0.3055	0.3055	8.0500	8.0500	2	2	0.6100	0.4400	0.0421	0.0421	Scrooge said that he would see him—yes, indeed he did. He we
30	0	6	3.2300	3.2030	0.0800	0.0500	0.2500	0.2530	2.9000	2.9000	0	0	0	0	0.0539	0.0541	“But why?” cried Scrooge’s nephew. “Why?”
31	0	7	2.7906	2.7906	0.0800	0.1100	0.2306	0.2306	2.4800	2.4500	0	0	0	0	0.0510	0.0509	“Why did you get married?” said Scrooge.
32	0	5	1.9411	1.9413	0.1000	0.0700	0.2111	0.2113	1.6300	1.6600	0	0	0	0	0.0521	0.0520	“Because I fell in love.”
33	0	26	7.9384	7.9385	0.1200	0.1200	0.7584	0.7585	7.0600	7.0600	1	1	0.2500	0.2400	0.0414	0.0415	“Because you fell in love!” growled Scrooge, as if that were
34	0	22	5.9907	5.9906	0.1200	0.1200	0.3307	0.3206	5.5400	5.5500	0	0	0	0	0.0456	0.0456	“Nay, uncle, but you never came to see me before that happen
35	0	4	2.5902	2.5900	0.0900	0.0900	0.2302	0.2300	2.2700	2.2700	0	0	0	0	0.0585	0.0584	“Good afternoon,” said Scrooge.
36	0	15	4.6180	4.6180	0.1100	0.1100	0.3280	0.3280	4.1800	4.1800	1	1	0.3900	0.2600	0.0463	0.0464	“I want nothing from you; I ask nothing of you; why cannot w
37	0	4	2.5915	2.5907	0.0900	0.0900	0.2315	0.2307	2.2700	2.2700	0	0	0	0	0.0586	0.0586	“Good afternoon,” said Scrooge.
38	0	49	13.2452	13.2457	0.1000	0.1000	0.2552	0.2557	12.8900	12.8900	3	4	0.9500	1.0500	0.0433	0.0433	“I am sorry, with all my heart, to find you so resolute. We 
39	0	4	2.5661	2.5662	0.0700	0.0900	0.2361	0.2362	2.2600	2.2400	0	0	0	0	0.0585	0.0584	“Good afternoon!” said Scrooge.
40	0	5	1.7983	1.7982	0.0500	0.0500	0.1883	0.1882	1.5600	1.5600	0	0	0	0	0.0494	0.0491	“And A Happy New Year!”
41	0	4	2.5656	2.5660	0.0900	0.0700	0.2356	0.2560	2.2400	2.2400	0	0	0	0	0.0584	0.0585	“Good afternoon!” said Scrooge.
42	0	40	11.4473	11.4497	0.0600	0.0600	0.4973	0.4997	10.8900	10.8900	2	2	0.4800	0.4300	0.0412	0.0412	His nephew left the room without an angry word, notwithstand
43	0	29	9.6168	9.6172	0.0500	0.0500	0.3968	0.3972	9.1700	9.1700	2	2	0.5300	0.4000	0.0420	0.0420	“There’s another fellow,” muttered Scrooge; who overheard hi
44	0	42	11.8886	11.8882	0.0800	0.0800	0.3586	0.3582	11.4500	11.4500	1	1	0.2100	0.2100	0.0402	0.0402	This lunatic, in letting Scrooge’s nephew out, had let two o
45	0	25	8.0744	8.0742	0.0500	0.0500	0.7944	0.7942	7.2300	7.2300	1	1	0.1900	0.1700	0.0421	0.0422	“Scrooge and Marley’s, I believe,” said one of the gentlemen
46	0	18	6.4913	6.4917	0.1200	0.1200	0.3313	0.3317	6.0400	6.0400	1	1	0.3100	0.3100	0.0451	0.0451	“Mr. Marley has been dead these seven years,” Scrooge replie
47	0	19	7.5677	7.5676	0.1000	0.1000	0.6977	0.6976	6.7700	6.7700	1	2	0.1500	0.3500	0.0412	0.0412	“We have no doubt his liberality is well represented by his 
48	0	26	9.2402	9.2403	0.0800	0.0800	0.6002	0.5003	8.5600	8.6600	3	3	0.5500	0.5500	0.0419	0.0419	It certainly was; for they had been two kindred spirits. At 
49	0	59	17.9300	17.9335	0.0800	0.0800	0.8500	0.8535	17.0000	17.0000	3	3	1.1600	1.1600	0.0410	0.0410	“At this festive season of the year, Mr. Scrooge,” said the 
50	0	6	2.8570	2.8577	0.0500	0.0500	0.2570	0.2577	2.5500	2.5500	0	0	0	0	0.0535	0.0534	“Are there no prisons?” asked Scrooge.
51	0	11	4.4176	4.4175	0.0900	0.0900	0.3076	0.3075	4.0200	4.0200	1	1	0.3300	0.3300	0.0451	0.0452	“Plenty of prisons,” said the gentleman, laying down the pen
52	0	11	4.8192	4.8205	0.0500	0.0500	0.3292	0.3305	4.4400	4.4400	0	1	0	0.2000	0.0453	0.0453	“And the Union workhouses?” demanded Scrooge. “Are they stil
53	0	14	4.6675	4.6674	0.0900	0.0900	0.3275	0.3274	4.2500	4.2500	1	1	0.1700	0.1700	0.0462	0.0461	“They are. Still,” returned the gentleman, “I wish I could s
54	0	13	4.1673	4.1667	0.1100	0.1000	0.2772	0.2767	3.7800	3.7900	1	1	0.2900	0.2900	0.0459	0.0459	“The Treadmill and the Poor Law are in full vigour, then?” s
55	0	4	2.1882	2.1900	0.0900	0.0900	0.2282	0.2300	1.8700	1.8700	0	0	0	0	0.0589	0.0587	“Both very busy, sir.”
56	0	29	8.1168	8.1167	0.1200	0.1200	0.3068	0.3068	7.6900	7.6900	1	2	0.1500	0.3500	0.0418	0.0418	“Oh! I was afraid, from what you said at first, that somethi
57	0	68	19.3540	19.3868	0.0500	0.0500	0.6540	0.3268	18.6500	19.0100	6	7	1.5600	2.1500	0.0406	0.0406	“Under the impression that they scarcely furnish Christian c
58	0	3	2.4164	2.4165	0.0600	0.0600	0.2364	0.2365	2.1200	2.1200	0	0	0	0	0.0546	0.0545	“Nothing!” Scrooge replied.
59	0	5	1.9445	1.9445	0.0500	0.0500	0.2045	0.2045	1.6900	1.6900	0	0	0	0	0.0517	0.0516	“You wish to be anonymous?”
60	0	56	16.4014	16.4039	0.0500	0.0500	0.8514	0.3939	15.5000	15.9600	3	3	0.9000	1.1200	0.0419	0.0419	“I wish to be left alone,” said Scrooge. “Since you ask me w
61	0	9	3.2945	3.2949	0.0500	0.0500	0.2545	0.2549	2.9900	2.9900	1	1	0.1500	0.2700	0.0450	0.0452	“Many can’t go there; and many would rather die.”
62	0	22	7.9671	7.9668	0.0900	0.0900	0.3571	0.3568	7.5200	7.5200	2	2	0.3800	0.3800	0.0429	0.0430	“If they would rather die,” said Scrooge, “they had better d
63	0	8	3.1457	3.1456	0.0500	0.0500	0.2357	0.2356	2.8600	2.8600	0	0	0	0	0.0516	0.0515	“But you might know it,” observed the gentleman.
64	0	30	10.5289	10.4238	0.0500	0.0500	0.6889	0.5838	9.7900	9.7900	3	3	0.7200	0.7200	0.0418	0.0420	“It’s not my business,” Scrooge returned. “It’s enough for a
65	0	35	10.1423	10.1420	0.0600	0.0600	0.3822	0.3820	9.7000	9.7000	3	4	0.6700	0.9300	0.0399	0.0398	Seeing clearly that it would be useless to pursue their poin
66	0	276	81.9402	82.0735	0.0500	0.0900	0.3602	0.5635	81.5300	81.4200	30	28	8.6900	8.4500	0.0406	0.0406	Meanwhile the fog and darkness thickened so, that people ran
67	0	81	23.9761	23.9743	0.0800	0.0800	0.4361	0.4343	23.4600	23.4600	10	9	2.4200	2.1700	0.0401	0.0401	Foggier yet, and colder. Piercing, searching, biting cold. I
68	0	9	3.6927	3.6925	0.1100	0.1100	0.3327	0.3025	3.2500	3.2800	0	0	0	0	0.0505	0.0506	“God bless you, merry gentleman! May nothing you dismay!”
69	0	26	7.8807	7.8806	0.0500	0.0500	0.4907	0.4906	7.3400	7.3400	3	3	0.5900	0.5900	0.0424	0.0423	Scrooge seized the ruler with such energy of action, that th
70	0	41	12.0100	12.0099	0.0500	0.0500	0.3800	0.3799	11.5800	11.5800	3	3	0.5700	0.5700	0.0410	0.0410	At length the hour of shutting up the counting-house arrived
71	0	9	3.6425	3.6425	0.0600	0.0600	0.2525	0.2525	3.3300	3.3300	0	0	0	0	0.0473	0.0473	“You’ll want all day to-morrow, I suppose?” said Scrooge.
72	0	4	2.4171	2.4064	0.0600	0.0500	0.2271	0.2264	2.1300	2.1300	0	0	0	0	0.0564	0.0567	“If quite convenient, sir.”
73	0	24	7.7425	7.7422	0.0900	0.0900	0.3325	0.3222	7.3200	7.3300	1	1	0.1600	0.1600	0.0443	0.0442	“It’s not convenient,” said Scrooge, “and it’s not fair. If 
74	0	4	2.5180	2.5179	0.0600	0.0600	0.2480	0.2479	2.2100	2.2100	0	0	0	0	0.0577	0.0578	The clerk smiled faintly.
75	0	18	5.4203	5.4201	0.0500	0.0500	0.3303	0.3301	5.0400	5.0400	0	1	0	0.1700	0.0451	0.0451	“And yet,” said Scrooge, “you don’t think me ill-used, when 
76	0	10	3.2433	3.2430	0.0500	0.0500	0.2833	0.2830	2.9100	2.9100	1	0	0.1700	0	0.0534	0.0534	The clerk observed that it was only once a year.
77	0	36	10.6720	10.6730	0.0500	0.0500	0.5920	0.5930	10.0300	10.0300	3	3	0.7900	0.7900	0.0412	0.0411	“A poor excuse for picking a man’s pocket every twenty-fifth
78	0	80	19.7869	19.7862	0.0500	0.0600	0.3569	0.3562	19.3800	19.3700	8	8	1.7800	2.0000	0.0405	0.0405	The clerk promised that he would; and Scrooge walked out wit
79	0	170	46.2175	46.1160	0.0500	0.0500	0.5075	0.5060	45.6600	45.5600	18	19	4.8600	4.9700	0.0408	0.0409	Scrooge took his melancholy dinner in his usual melancholy t
80	0	145	39.6938	39.6934	0.0500	0.0500	0.3738	0.3634	39.2700	39.2800	17	16	4.5000	4.3100	0.0400	0.0401	Now, it is a fact, that there was nothing at all particular 
81	0	109	31.3321	31.3373	0.0500	0.0500	0.3121	0.3073	30.9700	30.9800	12	13	3.9100	3.6100	0.0406	0.0405	Marley’s face. It was not in impenetrable shadow as the othe
82	0	12	4.3433	4.3438	0.0500	0.0500	0.3033	0.3038	3.9900	3.9900	0	1	0	0.2300	0.0466	0.0467	As Scrooge looked fixedly at this phenomenon, it was a knock
83	0	50	13.3214	13.3209	0.0500	0.0500	0.4314	0.5709	12.8400	12.7000	3	4	0.7300	0.8800	0.0400	0.0401	To say that he was not startled, or that his blood was not c
84	0	70	19.0692	19.0712	0.1000	0.0500	0.3392	0.3412	18.6300	18.6800	6	5	1.7600	1.5200	0.0409	0.0409	He did pause, with a moment’s irresolution, before he shut t
85	0	61	18.4105	18.4765	0.0800	0.0800	0.6805	0.3065	17.6500	18.0900	5	6	1.8300	2.1600	0.0423	0.0422	The sound resounded through the house like thunder. Every ro
86	0	113	31.2675	31.2668	0.0800	0.0800	0.3375	0.6568	30.8500	30.5300	14	12	3.8900	3.3400	0.0405	0.0405	You may talk vaguely about driving a coach-and-six up a good
87	0	47	13.6480	13.6480	0.0500	0.0500	0.2580	0.2580	13.3400	13.3400	2	2	0.9800	0.8900	0.0432	0.0431	Up Scrooge went, not caring a button for that. Darkness is c
88	0	81	26.5477	26.1897	0.0500	0.0500	0.7277	0.3697	25.7700	25.7700	9	9	2.5400	2.4400	0.0394	0.0397	Sitting-room, bedroom, lumber-room. All as they should be. N
89	0	46	15.2918	15.2928	0.0500	0.0500	0.2818	0.2828	14.9600	14.9600	6	6	1.6900	1.6900	0.0430	0.0430	Quite satisfied, he closed his door, and locked himself in; 
90	0	161	48.1997	48.1225	0.0800	0.0800	0.3797	0.3725	47.7400	47.6700	21	21	5.7600	5.9100	0.0404	0.0405	It was a very low fire indeed; nothing on such a bitter nigh
91	0	8	3.5174	3.5174	0.0500	0.0500	0.2474	0.2574	3.2200	3.2100	0	0	0	0	0.0534	0.0534	“Humbug!” said Scrooge; and walked across the room.
92	0	98	27.7408	27.7015	0.0700	0.0700	0.2808	0.2815	27.3900	27.3500	11	10	3.3100	2.9600	0.0409	0.0409	After several turns, he sat down again. As he threw his head
93	0	65	19.2369	19.2139	0.1100	0.1100	0.3869	0.3939	18.7400	18.7100	5	5	1.4100	1.2900	0.0407	0.0407	This might have lasted half a minute, or a minute, but it se
94	0	31	8.9818	8.9821	0.1100	0.1100	0.4518	0.4521	8.4200	8.4200	3	2	0.5800	0.4000	0.0433	0.0433	The cellar-door flew open with a booming sound, and then he 
95	0	9	3.7929	3.7922	0.0600	0.0600	0.2829	0.2622	3.4500	3.4700	0	0	0	0	0.0496	0.0497	“It’s humbug still!” said Scrooge. “I won’t believe it.”
96	0	44	11.7930	11.7927	0.0600	0.0600	0.3830	0.3827	11.3500	11.3500	4	4	1.0000	1.0400	0.0409	0.0409	His colour changed though, when, without a pause, it came on
97	0	2	1.3446	1.3445	0.0500	0.0500	0.1346	0.1345	1.1600	1.1600	0	0	0	0	0.0519	0.0520	Marley’s Ghost
98	0	2	1.3451	1.3444	0.0500	0.0500	0.1351	0.1344	1.1600	1.1600	0	0	0	0	0.0519	0.0520	Marley’s Ghost
99	0	96	30.5368	30.6384	0.0600	0.0600	0.3668	0.3684	30.1100	30.2100	8	8	2.2800	2.3300	0.0414	0.0413	The same face: the very same. Marley in his pigtail, usual w
100	0	19	5.8659	5.8657	0.0500	0.0500	0.3359	0.7557	5.4800	5.0600	1	0	0.4100	0	0.0427	0.0427	Scrooge had often heard it said that Marley had no bowels, b
101	0	63	18.7719	18.7708	0.0500	0.0500	0.6519	0.6508	18.0700	18.0700	6	6	1.8900	1.8200	0.0429	0.0429	No, nor did he believe it even now. Though he looked the pha
102	0	15	4.6420	4.6426	0.0600	0.0500	0.3020	0.3026	4.2800	4.2900	0	0	0	0	0.0467	0.0467	“How now!” said Scrooge, caustic and cold as ever. “What do 
103	0	6	3.0936	3.0938	0.0600	0.0500	0.2836	0.2838	2.7500	2.7600	0	0	0	0	0.0506	0.0506	“Much!”—Marley’s voice, no doubt about it.
104	0	3	1.1955	1.1951	0.0500	0.0500	0.1655	0.1451	0.9800	1.0000	0	0	0	0	0.0525	0.0525	“Who are you?”
105	0	5	1.8449	1.8453	0.0500	0.0500	0.2049	0.2253	1.5900	1.5700	0	0	0	0	0.0532	0.0531	“Ask me who I was.”
106	0	28	8.8923	8.8934	0.0800	0.0500	0.3023	0.3034	8.5100	8.5400	2	2	0.4500	0.5400	0.0411	0.0411	“Who were you then?” said Scrooge, raising his voice. “You’r
107	0	8	3.3197	3.3194	0.0500	0.0500	0.2797	0.2794	2.9900	2.9900	0	0	0	0	0.0524	0.0526	“In life I was your partner, Jacob Marley.”
108	0	11	4.3197	4.3199	0.0500	0.0500	0.2797	0.2799	3.9900	3.9900	0	0	0	0	0.0483	0.0483	“Can you—can you sit down?” asked Scrooge, looking doubtfull
109	0	2	1.1968	1.1978	0.0500	0.0500	0.1568	0.1578	0.9900	0.9900	0	0	0	0	0.0491	0.0491	“I can.”
110	0	3	1.2963	1.3110	0.0500	0.0600	0.1563	0.1510	1.0900	1.1000	0	0	0	0	0.0580	0.0575	“Do it, then.”
111	0	62	17.9191	17.9195	0.0500	0.0500	0.3091	0.2795	17.5600	17.5900	5	7	1.6700	1.8100	0.0418	0.0418	Scrooge asked the question, because he didn’t know whether a
112	0	8	3.0317	3.0419	0.0500	0.0600	0.2517	0.2519	2.7300	2.7300	0	0	0	0	0.0504	0.0503	“You don’t believe in me,” observed the Ghost.
113	0	4	2.3620	2.3650	0.0700	0.0800	0.2420	0.2350	2.0500	2.0500	0	0	0	0	0.0590	0.0590	“I don’t,” said Scrooge.
114	0	13	4.6425	4.6419	0.0900	0.0900	0.3325	0.3119	4.2200	4.2400	1	0	0.1600	0	0.0447	0.0447	“What evidence would you have of my reality beyond that of y
115	0	5	2.4375	2.4382	0.0600	0.0600	0.2575	0.2282	2.1200	2.1500	0	0	0	0	0.0547	0.0547	“I don’t know,” said Scrooge.
116	0	6	2.4432	2.4426	0.0500	0.0500	0.2333	0.2326	2.1600	2.1600	0	0	0	0	0.0536	0.0536	“Why do you doubt your senses?”
117	0	51	16.1648	16.1000	0.0500	0.0500	0.2848	0.3100	15.8300	15.7400	4	4	1.3900	1.3300	0.0452	0.0453	“Because,” said Scrooge, “a little thing affects them. A sli
118	0	55	16.1569	16.1575	0.0500	0.0500	0.3069	0.2775	15.8000	15.8300	7	8	2.1700	2.1300	0.0407	0.0407	Scrooge was not much in the habit of cracking jokes, nor did
119	0	76	22.7583	22.3280	0.0500	0.0500	0.5783	0.3680	22.1300	21.9100	8	8	2.0700	1.8500	0.0403	0.0407	To sit, staring at those fixed glazed eyes, in silence for a
120	0	33	10.1481	10.1486	0.0700	0.0700	0.6081	0.6086	9.4700	9.4700	3	4	0.5100	0.7100	0.0396	0.0396	“You see this toothpick?” said Scrooge, returning quickly to
121	0	5	2.3905	2.3904	0.0800	0.0800	0.2305	0.2304	2.0800	2.0800	0	0	0	0	0.0526	0.0525	“I do,” replied the Ghost.
122	0	8	2.7568	2.7590	0.0500	0.0500	0.2368	0.2290	2.4700	2.4800	0	0	0	0	0.0557	0.0557	“You are not looking at it,” said Scrooge.
123	0	8	3.4672	3.4677	0.0900	0.0500	0.2872	0.2877	3.0900	3.1300	0	0	0	0	0.0500	0.0500	“But I see it,” said the Ghost, “notwithstanding.”
124	0	33	10.2380	10.2406	0.0500	0.0500	0.4180	0.3506	9.7700	9.8400	3	4	0.5800	0.7300	0.0421	0.0421	“Well!” returned Scrooge, “I have but to swallow this, and b
125	0	69	18.7502	18.9635	0.0800	0.0800	0.3302	0.3335	18.3400	18.5500	5	6	1.3200	1.4200	0.0412	0.0410	At this the spirit raised a frightful cry, and shook its cha
126	0	12	4.4135	4.4129	0.0600	0.0600	0.3035	0.3029	4.0500	4.0500	1	1	0.2900	0.2900	0.0462	0.0463	Scrooge fell upon his knees, and clasped his hands before hi
127	0	10	4.0435	4.0436	0.0500	0.0500	0.3035	0.3036	3.6900	3.6900	1	1	0.1700	0.2000	0.0477	0.0476	“Mercy!” he said. “Dreadful apparition, why do you trouble m
128	0	15	4.5688	4.5685	0.0500	0.1100	0.3488	0.3485	4.1700	4.1100	1	1	0.1700	0.1800	0.0468	0.0468	“Man of the worldly mind!” replied the Ghost, “do you believ
129	0	20	5.7685	5.7693	0.0500	0.0500	0.2985	0.2993	5.4200	5.4200	2	2	0.4100	0.3500	0.0442	0.0442	“I do,” said Scrooge. “I must. But why do spirits walk the e
130	0	68	19.6273	19.5983	0.0500	0.0500	0.7572	0.3583	18.8200	19.1900	9	10	2.1400	2.2800	0.0406	0.0406	“It is required of every man,” the Ghost returned, “that the
131	0	15	4.8935	4.8933	0.0500	0.0500	0.3035	0.3033	4.5400	4.5400	1	0	0.1500	0	0.0451	0.0452	Again the spectre raised a cry, and shook its chain and wrun
132	0	9	3.5681	3.5681	0.1000	0.1000	0.2481	0.2481	3.2200	3.2200	0	0	0	0	0.0472	0.0472	“You are fettered,” said Scrooge, trembling. “Tell me why?”
133	0	45	10.4956	10.2676	0.0900	0.0900	0.5856	0.3576	9.8200	9.8200	4	5	0.8600	1.0600	0.0407	0.0412	“I wear the chain I forged in life,” replied the Ghost. “I m
134	0	5	2.6208	2.6241	0.0500	0.0500	0.3108	0.2841	2.2600	2.2900	1	0	0.1700	0	0.0489	0.0488	Scrooge trembled more and more.
135	0	43	11.0906	11.0281	0.0700	0.0700	0.5806	0.5181	10.4400	10.4400	3	3	0.6400	0.6400	0.0391	0.0392	“Or would you know,” pursued the Ghost, “the weight and leng
136	0	28	8.6025	8.6022	0.0500	0.0500	0.3925	0.3822	8.1600	8.1700	1	1	0.2200	0.3300	0.0421	0.0422	Scrooge glanced about him on the floor, in the expectation o
137	0	15	5.9914	5.9910	0.0700	0.0700	0.3314	0.4010	5.5900	5.5200	0	0	0	0	0.0454	0.0454	“Jacob,” he said, imploringly. “Old Jacob Marley, tell me mo
138	0	80	25.4196	25.4217	0.0500	0.0500	0.2796	0.2817	25.0900	25.0900	11	11	2.7400	2.9900	0.0422	0.0422	“I have none to give,” the Ghost replied. “It comes from oth
139	0	40	11.2459	11.2479	0.0800	0.0800	0.6459	0.6479	10.5200	10.5200	4	3	0.8400	0.6300	0.0405	0.0405	It was a habit with Scrooge, whenever he became thoughtful, 
140	0	20	7.0921	7.0923	0.1100	0.1100	0.3321	0.3323	6.6500	6.6500	1	1	0.3300	0.2700	0.0435	0.0435	“You must have been very slow about it, Jacob,” Scrooge obse
141	0	4	2.4911	2.4911	0.0500	0.0500	0.2311	0.2311	2.2100	2.2100	0	0	0	0	0.0589	0.0589	“Slow!” the Ghost repeated.
142	0	10	4.3402	4.3402	0.0600	0.0600	0.3102	0.3102	3.9700	3.9700	0	0	0	0	0.0474	0.0473	“Seven years dead,” mused Scrooge. “And travelling all the t
143	0	14	5.4408	5.4410	0.1100	0.1100	0.3307	0.3310	5.0000	5.0000	0	0	0	0	0.0444	0.0443	“The whole time,” said the Ghost. “No rest, no peace. Incess
144	0	5	2.8062	2.8165	0.0500	0.0600	0.2362	0.2565	2.5200	2.5000	0	0	0	0	0.0512	0.0510	“You travel fast?” said Scrooge.
145	0	9	3.1448	3.1451	0.0500	0.0500	0.2548	0.2451	2.8400	2.8500	0	0	0	0	0.0508	0.0510	“On the wings of the wind,” replied the Ghost.
146	0	15	4.8185	4.8183	0.1100	0.1100	0.2785	0.2783	4.4300	4.4300	1	0	0.1900	0	0.0463	0.0463	“You might have got over a great quantity of ground in seven
147	0	35	9.8693	9.8710	0.1000	0.1000	0.3593	0.3610	9.4100	9.4100	2	2	0.4400	0.3800	0.0411	0.0411	The Ghost, on hearing this, set up another cry, and clanked 
148	0	91	28.9294	28.4986	0.0500	0.0500	0.3294	0.3586	28.5500	28.0900	9	8	2.9100	2.6400	0.0411	0.0414	“Oh! captive, bound, and double-ironed,” cried the phantom, 
149	0	20	6.3669	6.3671	0.1200	0.1200	0.3069	0.3371	5.9400	5.9100	1	1	0.1900	0.2500	0.0435	0.0435	“But you were always a good man of business, Jacob,” faltere
150	0	45	15.7908	15.7920	0.0500	0.0500	0.3308	0.3320	15.4100	15.4100	5	3	1.4800	1.0100	0.0414	0.0415	“Business!” cried the Ghost, wringing its hands again. “Mank
151	0	27	7.4927	7.6597	0.1100	0.0700	0.5827	0.7897	6.8000	6.8000	1	1	0.2200	0.2200	0.0422	0.0418	It held up its chain at arm’s length, as if that were the ca
152	0	56	15.2227	15.2231	0.0900	0.0900	0.3027	0.3031	14.8300	14.8300	4	5	1.6000	1.7700	0.0422	0.0422	“At this time of the rolling year,” the spectre said, “I suf
153	0	19	6.2615	6.2615	0.0600	0.0600	0.3315	0.3615	5.8700	5.8400	1	1	0.4300	0.3000	0.0440	0.0440	Scrooge was very much dismayed to hear the spectre going on 
